phase,name,is_signal,file_path,activity_bq,amount,time_s,phase_time_s,nb_events
phase_1,tl_5_pmt,false,data/mathis_files/tl_5_pmt/phase_1/tl_5_pmt_phase_1.root,1.390061396776669,1.0,9.019296e7,2.2166779e6,300000000
phase_2,tl_5_pmt,false,data/mathis_files/tl_5_pmt/phase_2/tl_5_pmt_phase_2.root,1.390061396776669,1.0,9.019296e7,1.2274785e6,300000000
phase_3,tl_5_pmt,false,data/mathis_files/tl_5_pmt/phase_3/tl_5_pmt_phase_3.root,1.390061396776669,1.0,9.019296e7,6.615636e6,300000000
phase_4,tl_5_pmt,false,data/mathis_files/tl_5_pmt/phase_4/tl_5_pmt_phase_4.root,1.390061396776669,1.0,9.019296e7,1.3409078e7,300000000
phase_0,tl_g_pmt,false,data/mathis_files/tl_g_pmt/phase_0/tl_g_pmt_phase_0.root,0.48349961627014576,1.0,9.019296e7,3.2755212e6,306000000
phase_1,tl_g_pmt,false,data/mathis_files/tl_g_pmt/phase_1/tl_g_pmt_phase_1.root,0.48349961627014576,1.0,9.019296e7,2.2166779e6,306000000
phase_2,tl_g_pmt,false,data/mathis_files/tl_g_pmt/phase_2/tl_g_pmt_phase_2.root,0.48349961627014576,1.0,9.019296e7,1.2274785e6,306000000
phase_3,tl_g_pmt,false,data/mathis_files/tl_g_pmt/phase_3/tl_g_pmt_phase_3.root,0.48349961627014576,1.0,9.019296e7,6.615636e6,308000000
phase_4,tl_g_pmt,false,data/mathis_files/tl_g_pmt/phase_4/tl_g_pmt_phase_4.root,0.48349961627014576,1.0,9.019296e7,1.3409078e7,308000000
phase_0,tl_pmt,false,data/mathis_files/tl_pmt/phase_0/tl_pmt_phase_0.root,40,1.0,9.019296e7,3.2755212e6,5000000000
phase_1,tl_pmt,false,data/mathis_files/tl_pmt/phase_1/tl_pmt_phase_1.root,40,1.0,9.019296e7,2.2166779e6,5000000000
phase_2,tl_pmt,false,data/mathis_files/tl_pmt/phase_2/tl_pmt_phase_2.root,40,1.0,9.019296e7,1.2274785e6,5000000000
phase_3,tl_pmt,false,data/mathis_files/tl_pmt/phase_3/tl_pmt_phase_3.root,40,1.0,9.019296e7,6.615636e6,5000000000
phase_4,tl_pmt,false,data/mathis_files/tl_pmt/phase_4/tl_pmt_phase_4.root,40,1.0,9.019296e7,1.3409078e7,5000000000
phase_0,tl_x_pmt,false,data/mathis_files/tl_x_pmt/phase_0/tl_x_pmt_phase_0.root,1.276438986953185,1.0,9.019296e7,3.2755212e6,300000000
phase_1,tl_x_pmt,false,data/mathis_files/tl_x_pmt/phase_1/tl_x_pmt_phase_1.root,1.276438986953185,1.0,9.019296e7,2.2166779e6,300000000
phase_2,tl_x_pmt,false,data/mathis_files/tl_x_pmt/phase_2/tl_x_pmt_phase_2.root,1.276438986953185,1.0,9.019296e7,1.2274785e6,300000000
phase_3,tl_x_pmt,false,data/mathis_files/tl_x_pmt/phase_3/tl_x_pmt_phase_3.root,1.276438986953185,1.0,9.019296e7,6.615636e6,300000000
phase_4,tl_x_pmt,false,data/mathis_files/tl_x_pmt/phase_4/tl_x_pmt_phase_4.root,1.276438986953185,1.0,9.019296e7,1.3409078e7,300000000
